"","Thomson Reuters Canada 50 (TRX50CAP)_history.csv Date","Thomson Reuters Canada 50 (TRX50CAP)_history.csv Price","Thomson Reuters Canada 50 (TRX50CAP)_history.csv Open","Thomson Reuters Canada 50 (TRX50CAP)_history.csv High","Thomson Reuters Canada 50 (TRX50CAP)_history.csv Low","Thomson Reuters Canada 50 (TRX50CAP)_history.csv Volume"
"1",2009-01-01,153.96,153.96,153.96,153.96,
"2",2009-01-02,157.45,157.45,157.45,157.45,
"3",2009-01-05,158.18,158.18,158.18,158.18,
"4",2009-01-06,161.1,161.1,161.1,161.1,
"5",2009-01-07,155.78,155.78,155.78,155.78,
"6",2009-01-08,157.87,157.87,157.87,157.87,
"7",2009-01-09,155.35,155.35,155.35,155.35,
"8",2009-01-12,150.78,150.78,150.78,150.78,
"9",2009-01-13,153.41,153.41,153.41,153.41,
"10",2009-01-14,148.92,148.92,148.92,148.92,
"11",2009-01-15,152.01,152.01,152.01,152.01,
"12",2009-01-16,152.3,152.3,152.3,152.3,
"13",2009-01-19,150.58,150.58,150.58,150.58,
"14",2009-01-20,144.5,144.5,144.5,144.5,
"15",2009-01-21,149.19,149.19,149.19,149.19,
"16",2009-01-22,143.82,143.82,143.82,143.82,
"17",2009-01-23,145.68,145.68,145.68,145.68,
"18",2009-01-26,146.62,146.62,146.62,146.62,
"19",2009-01-27,148.9,148.9,148.9,148.9,
"20",2009-01-28,152,152,152,152,
"21",2009-01-29,148.93,148.93,148.93,148.93,
"22",2009-01-30,147.95,147.95,147.95,147.95,
"23",2009-02-02,146.9,146.9,146.9,146.9,
"24",2009-02-03,147.06,147.06,147.06,147.06,
"25",2009-02-04,147.56,147.56,147.56,147.56,
"26",2009-02-05,150.53,150.53,150.53,150.53,
"27",2009-02-06,152.59,152.59,152.59,152.59,
"28",2009-02-09,153.42,153.42,153.42,153.42,
"29",2009-02-10,149.31,149.31,149.31,149.31,
"30",2009-02-11,147.7,147.7,147.7,147.7,
"31",2009-02-12,148.56,148.56,148.56,148.56,
"32",2009-02-13,146.35,146.35,146.35,146.35,
"33",2009-02-16,146.35,146.35,146.35,146.35,
"34",2009-02-17,140.88,140.88,140.88,140.88,
"35",2009-02-18,137,137,137,137,
"36",2009-02-19,137.24,137.24,137.24,137.24,
"37",2009-02-20,133.26,133.26,133.26,133.26,
"38",2009-02-23,128.17,128.17,128.17,128.17,
"39",2009-02-24,132.45,132.45,132.45,132.45,
"40",2009-02-25,134.22,134.22,134.22,134.22,
"41",2009-02-26,139.13,139.13,139.13,139.13,
"42",2009-02-27,137.84,137.84,137.84,137.84,
"43",2009-03-02,130.59,130.59,130.59,130.59,
"44",2009-03-03,129.57,129.57,129.57,129.57,
"45",2009-03-04,132.68,132.68,132.68,132.68,
"46",2009-03-05,129.76,129.76,129.76,129.76,
"47",2009-03-06,129.42,129.42,129.42,129.42,
"48",2009-03-09,128.67,128.67,128.67,128.67,
"49",2009-03-10,135.2,135.2,135.2,135.2,
"50",2009-03-11,137.59,137.59,137.59,137.59,
"51",2009-03-12,142.34,142.34,142.34,142.34,
"52",2009-03-13,142.95,142.95,142.95,142.95,
"53",2009-03-16,144.19,144.19,144.19,144.19,
"54",2009-03-17,147.43,147.43,147.43,147.43,
"55",2009-03-18,148.72,148.72,148.72,148.72,
"56",2009-03-19,148.7,148.7,148.7,148.7,
"57",2009-03-20,145.66,145.66,145.66,145.66,
"58",2009-03-23,154.19,154.19,154.19,154.19,
"59",2009-03-24,151.94,151.94,151.94,151.94,
"60",2009-03-25,150.81,150.81,150.81,150.81,
"61",2009-03-26,154.03,154.03,154.03,154.03,
"62",2009-03-27,151.09,151.09,151.09,151.09,
"63",2009-03-30,147.47,147.47,147.47,147.47,
"64",2009-03-31,149.56,149.56,149.56,149.56,
"65",2009-04-01,153.64,153.64,153.64,153.64,
"66",2009-04-02,155.49,155.49,155.49,155.49,
"67",2009-04-03,155.01,155.01,155.01,155.01,
"68",2009-04-06,154.33,154.33,154.33,154.33,
"69",2009-04-07,151.09,151.09,151.09,151.09,
"70",2009-04-08,153.47,153.47,153.47,153.47,
"71",2009-04-09,157.36,157.36,157.36,157.36,
"72",2009-04-10,157.36,157.36,157.36,157.36,
"73",2009-04-13,159.02,159.02,159.02,159.02,
"74",2009-04-14,158,158,158,158,
"75",2009-04-15,158.55,158.55,158.55,158.55,
"76",2009-04-16,160.18,160.18,160.18,160.18,
"77",2009-04-17,162.07,162.07,162.07,162.07,
"78",2009-04-20,156.65,156.65,156.65,156.65,
"79",2009-04-21,159.05,159.05,159.05,159.05,
"80",2009-04-22,159.03,159.03,159.03,159.03,
"81",2009-04-23,161.74,161.74,161.74,161.74,
"82",2009-04-24,163.85,163.85,163.85,163.85,
"83",2009-04-27,161.14,161.14,161.14,161.14,
"84",2009-04-28,160.59,160.59,160.59,160.59,
"85",2009-04-29,161.5,161.5,161.5,161.5,
"86",2009-04-30,160.2,160.2,160.2,160.2,
"87",2009-05-01,162.48,162.48,162.48,162.48,
"88",2009-05-04,169.27,169.27,169.27,169.27,
"89",2009-05-05,169.81,169.81,169.81,169.81,
"90",2009-05-06,174.52,174.52,174.52,174.52,
"91",2009-05-07,171.01,171.01,171.01,171.01,
"92",2009-05-08,175.78,175.78,175.78,175.78,
"93",2009-05-11,173.37,173.37,173.37,173.37,
"94",2009-05-12,172.97,172.97,172.97,172.97,
"95",2009-05-13,166.42,166.42,166.42,166.42,
"96",2009-05-14,169.05,169.05,169.05,169.05,
