Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;505.84;499.51;508.45;494.74;-;1.28%
Jan 05, 2009;505.03;505.56;508.23;496.01;-;-0.16%
Jan 06, 2009;514.71;507.16;519.00;507.16;-;1.92%
Jan 07, 2009;497.10;510.32;510.32;492.36;-;-3.42%
Jan 08, 2009;502.01;496.25;502.01;492.52;-;0.99%
Jan 09, 2009;481.30;502.05;502.13;480.96;-;-4.13%
Jan 12, 2009;468.80;481.03;481.03;466.75;-;-2.60%
Jan 13, 2009;473.79;468.01;476.23;466.05;-;1.06%
Jan 14, 2009;453.17;469.44;469.44;452.69;-;-4.35%
Jan 15, 2009;462.62;453.24;464.97;439.55;-;2.09%
Jan 16, 2009;466.45;462.81;467.72;451.77;-;0.83%
Jan 20, 2009;433.65;464.45;464.45;433.65;-;-7.03%
Jan 21, 2009;456.76;435.77;457.40;431.96;-;5.33%
Jan 22, 2009;442.85;456.16;456.16;435.54;-;-3.05%
Jan 23, 2009;444.36;437.82;449.84;431.26;-;0.34%
Jan 26, 2009;450.06;444.57;458.82;443.59;-;1.28%
Jan 27, 2009;455.58;451.21;458.02;449.21;-;1.23%
Jan 28, 2009;473.02;455.97;474.47;455.97;-;3.83%
Jan 29, 2009;453.24;469.44;469.44;453.24;-;-4.18%
Jan 30, 2009;443.53;455.46;459.39;442.43;-;-2.14%
Feb 02, 2009;449.61;441.21;451.27;437.22;-;1.37%
Feb 03, 2009;452.90;450.31;455.26;445.81;-;0.73%
Feb 04, 2009;448.48;453.03;461.11;446.73;-;-0.98%
Feb 05, 2009;455.08;447.96;459.93;443.32;-;1.47%
Feb 06, 2009;470.70;454.99;471.53;454.52;-;3.43%
Feb 09, 2009;467.94;470.28;471.19;463.50;-;-0.59%
Feb 10, 2009;445.77;466.24;470.53;445.68;-;-4.74%
Feb 11, 2009;447.95;446.38;451.77;442.07;-;0.49%
Feb 12, 2009;450.42;444.73;451.42;435.59;-;0.55%
Feb 13, 2009;448.36;450.56;456.19;447.01;-;-0.46%
Feb 17, 2009;428.90;448.35;448.35;428.90;-;-4.34%
Feb 18, 2009;423.18;430.88;431.61;422.08;-;-1.33%
Feb 19, 2009;416.71;423.18;429.32;416.71;-;-1.53%
Feb 20, 2009;410.96;412.99;415.41;402.65;-;-1.38%
Feb 23, 2009;394.58;413.39;414.80;394.58;-;-3.99%
Feb 24, 2009;412.48;396.89;413.17;396.89;-;4.54%
Feb 25, 2009;401.44;411.07;411.07;395.45;-;-2.68%
Feb 26, 2009;392.95;402.84;406.69;392.68;-;-2.11%
Feb 27, 2009;389.02;389.91;397.64;386.69;-;-1.00%
Mar 02, 2009;367.80;389.01;389.01;367.80;-;-5.45%
Mar 03, 2009;361.01;370.48;372.58;360.62;-;-1.85%
Mar 04, 2009;371.30;364.39;375.50;362.77;-;2.85%
Mar 05, 2009;349.45;367.42;367.42;349.44;-;-5.88%
Mar 06, 2009;351.05;351.89;356.87;343.15;-;0.46%
Mar 09, 2009;343.26;348.85;355.05;342.59;-;-2.22%
Mar 10, 2009;367.75;347.38;367.75;347.38;-;7.13%
Mar 11, 2009;366.30;368.06;376.53;363.84;-;-0.39%
Mar 12, 2009;390.12;365.52;390.94;361.08;-;6.50%
Mar 13, 2009;393.09;391.30;395.38;387.32;-;0.76%
Mar 16, 2009;386.36;395.23;400.36;385.61;-;-1.71%
Mar 17, 2009;403.59;386.35;403.59;384.26;-;4.46%
Mar 18, 2009;417.63;402.76;419.81;398.96;-;3.48%
Mar 19, 2009;413.26;419.61;422.01;411.70;-;-1.05%
Mar 20, 2009;400.11;415.05;416.72;399.59;-;-3.18%
Mar 23, 2009;433.72;405.71;433.72;405.71;-;8.40%
Mar 24, 2009;416.39;430.30;430.40;416.07;-;-4.00%
Mar 25, 2009;426.52;418.42;432.25;409.70;-;2.43%
Mar 26, 2009;445.30;427.29;445.30;427.29;-;4.40%
Mar 27, 2009;429.00;440.55;440.55;429.00;-;-3.66%
Mar 30, 2009;415.97;423.84;423.84;408.82;-;-3.04%
Mar 31, 2009;422.75;419.03;432.54;417.46;-;1.63%
Apr 01, 2009;429.16;419.39;429.51;412.79;-;1.52%
Apr 02, 2009;450.19;434.32;454.92;434.32;-;4.90%
Apr 03, 2009;456.13;449.45;456.13;444.70;-;1.32%
Apr 06, 2009;447.56;453.08;453.08;441.23;-;-1.88%
Apr 07, 2009;431.70;446.93;446.93;431.69;-;-3.54%
Apr 08, 2009;442.12;433.06;442.14;432.78;-;2.41%
Apr 09, 2009;468.20;446.98;468.20;446.98;-;5.90%
Apr 13, 2009;468.05;464.79;469.59;457.89;-;-0.03%
Apr 14, 2009;453.22;465.27;465.40;453.11;-;-3.17%
Apr 15, 2009;461.13;451.52;461.13;450.12;-;1.75%
Apr 16, 2009;473.88;463.56;476.38;458.48;-;2.76%
Apr 17, 2009;479.37;474.37;482.18;470.56;-;1.16%
Apr 20, 2009;452.49;477.98;477.98;452.49;-;-5.61%
Apr 21, 2009;470.05;450.38;470.05;448.93;-;3.88%
Apr 22, 2009;470.73;466.31;480.91;463.92;-;0.14%
Apr 23, 2009;466.62;471.83;472.48;460.13;-;-0.87%
Apr 24, 2009;478.74;468.93;482.22;468.58;-;2.60%
Apr 27, 2009;469.53;474.38;477.70;467.08;-;-1.92%
Apr 28, 2009;472.84;466.84;479.07;465.10;-;0.70%
Apr 29, 2009;491.47;476.14;494.74;476.14;-;3.94%
Apr 30, 2009;487.56;493.61;501.46;487.20;-;-0.80%
May 01, 2009;486.98;488.09;492.46;484.73;-;-0.12%
May 04, 2009;506.82;489.95;506.82;489.95;-;4.07%
May 05, 2009;502.55;504.82;505.99;497.06;-;-0.84%
May 06, 2009;505.09;503.34;509.37;495.94;-;0.51%
May 07, 2009;492.94;505.33;511.28;489.20;-;-2.41%
May 08, 2009;511.82;496.76;511.82;496.66;-;3.83%
May 11, 2009;501.94;507.15;507.15;498.65;-;-1.93%
May 12, 2009;495.18;504.19;506.52;487.60;-;-1.35%
May 13, 2009;471.82;490.52;490.52;471.82;-;-4.72%
May 14, 2009;480.71;472.76;486.29;470.37;-;1.88%
May 15, 2009;475.84;480.96;483.73;472.87;-;-1.01%
May 18, 2009;494.79;478.94;495.02;478.94;-;3.98%
May 19, 2009;493.26;494.75;498.31;488.48;-;-0.31%
May 20, 2009;489.35;494.62;505.59;488.47;-;-0.79%
May 21, 2009;481.22;486.74;486.74;474.50;-;-1.66%
May 22, 2009;477.62;482.69;485.05;477.51;-;-0.75%
May 26, 2009;500.31;477.62;500.34;475.98;-;4.75%
May 27, 2009;489.86;498.78;502.62;489.86;-;-2.09%
May 28, 2009;492.21;489.94;495.54;481.03;-;0.48%
May 29, 2009;501.58;493.07;501.58;491.17;-;1.90%
Jun 01, 2009;521.33;504.57;522.37;504.57;-;3.94%
Jun 02, 2009;526.63;521.33;528.72;516.89;-;1.02%
Jun 03, 2009;522.71;524.60;524.60;516.69;-;-0.74%
Jun 04, 2009;531.68;524.12;531.68;520.52;-;1.72%
Jun 05, 2009;530.36;534.18;535.86;526.51;-;-0.25%
Jun 08, 2009;524.79;528.42;531.09;520.07;-;-1.05%
Jun 09, 2009;527.93;526.48;531.43;525.63;-;0.60%
Jun 10, 2009;523.71;528.82;532.30;515.99;-;-0.80%
Jun 11, 2009;526.08;524.49;532.90;524.43;-;0.45%
Jun 12, 2009;526.83;524.27;526.84;518.70;-;0.14%
Jun 15, 2009;511.83;523.36;523.36;507.60;-;-2.85%
Jun 16, 2009;503.74;514.00;516.60;502.74;-;-1.58%
Jun 17, 2009;507.03;503.69;511.85;499.17;-;0.65%
Jun 18, 2009;509.48;506.70;511.33;502.72;-;0.48%
Jun 19, 2009;512.72;513.45;517.62;510.47;-;0.64%
Jun 22, 2009;492.81;510.30;510.30;492.81;-;-3.88%
Jun 23, 2009;489.77;494.72;496.63;488.85;-;-0.62%
Jun 24, 2009;494.95;492.01;500.67;491.83;-;1.06%
Jun 25, 2009;509.18;493.52;509.18;492.43;-;2.88%
Jun 26, 2009;513.22;507.45;514.59;505.19;-;0.79%
Jun 29, 2009;510.61;512.33;513.60;503.33;-;-0.51%
Jun 30, 2009;508.28;510.60;513.83;507.10;-;-0.46%
Jul 01, 2009;517.46;510.28;520.06;510.28;-;1.81%
Jul 02, 2009;497.21;513.11;513.11;497.21;-;-3.91%
Jul 06, 2009;494.03;495.65;495.72;487.10;-;-0.64%
Jul 07, 2009;484.25;494.27;494.41;484.25;-;-1.98%
Jul 08, 2009;479.68;485.75;486.83;473.54;-;-0.94%
Jul 09, 2009;479.27;481.81;483.91;478.97;-;-0.09%
Jul 10, 2009;480.98;477.70;481.93;474.52;-;0.36%
Jul 13, 2009;493.31;481.98;493.31;475.28;-;2.56%
Jul 14, 2009;496.52;493.30;496.69;490.81;-;0.65%
Jul 15, 2009;515.64;500.87;515.76;500.87;-;3.85%
Jul 16, 2009;522.02;513.61;523.13;512.11;-;1.24%
Jul 17, 2009;519.22;522.42;522.42;517.62;-;-0.54%
Jul 20, 2009;526.96;522.07;526.96;521.48;-;1.49%
Jul 21, 2009;525.22;528.94;529.25;518.59;-;-0.33%
Jul 22, 2009;528.70;523.34;531.31;522.43;-;0.66%
Jul 23, 2009;545.85;528.65;547.42;528.11;-;3.24%
Jul 24, 2009;548.46;542.20;548.46;539.90;-;0.48%
Jul 27, 2009;550.88;548.46;550.90;544.90;-;0.44%
Jul 28, 2009;551.95;549.09;551.95;544.18;-;0.19%
Jul 29, 2009;548.38;549.24;550.47;545.69;-;-0.65%
Jul 30, 2009;557.80;550.92;563.48;550.92;-;1.72%
Jul 31, 2009;556.71;555.48;562.07;555.48;-;-0.20%
Aug 03, 2009;565.78;559.31;565.78;556.56;-;1.63%
Aug 04, 2009;570.74;562.60;572.48;561.17;-;0.88%
Aug 05, 2009;565.99;570.72;571.24;560.59;-;-0.83%
Aug 06, 2009;557.62;567.52;569.53;556.56;-;-1.48%
Aug 07, 2009;572.40;562.60;577.47;562.60;-;2.65%
Aug 10, 2009;571.87;570.37;574.56;567.87;-;-0.09%
Aug 11, 2009;562.12;570.20;570.36;560.48;-;-1.70%
Aug 12, 2009;572.17;562.17;577.57;562.05;-;1.79%
Aug 13, 2009;575.19;572.67;576.70;568.73;-;0.53%
Aug 14, 2009;563.90;574.56;574.70;558.58;-;-1.96%
Aug 17, 2009;548.18;556.77;556.77;546.96;-;-2.79%
Aug 18, 2009;556.43;550.22;557.88;548.85;-;1.50%
Aug 19, 2009;561.65;552.37;561.65;549.86;-;0.94%
Aug 20, 2009;568.68;561.07;568.68;560.58;-;1.25%
Aug 21, 2009;581.51;572.64;582.10;571.66;-;2.26%
Aug 24, 2009;580.24;582.69;586.03;578.10;-;-0.22%
Aug 25, 2009;583.22;581.90;588.05;581.90;-;0.51%
Aug 26, 2009;584.02;582.57;586.29;579.87;-;0.14%
Aug 27, 2009;583.77;583.87;584.78;572.66;-;-0.04%
Aug 28, 2009;579.86;583.87;589.79;576.82;-;-0.67%
Aug 31, 2009;572.07;577.02;577.02;569.27;-;-1.34%
Sep 01, 2009;558.06;570.24;579.90;556.83;-;-2.45%
Sep 02, 2009;555.83;556.86;559.05;554.59;-;-0.40%
Sep 03, 2009;562.49;557.31;562.49;552.27;-;1.20%
Sep 04, 2009;570.50;562.50;570.50;559.09;-;1.42%
Sep 08, 2009;576.38;573.01;576.38;570.39;-;1.03%
Sep 09, 2009;586.40;576.50;588.70;575.53;-;1.74%
Sep 10, 2009;594.90;586.57;594.90;582.69;-;1.45%
Sep 11, 2009;593.59;594.83;597.98;590.89;-;-0.22%
Sep 14, 2009;600.03;591.35;600.03;588.03;-;1.08%
Sep 15, 2009;604.84;599.49;605.60;597.45;-;0.80%
Sep 16, 2009;617.38;606.60;617.38;605.93;-;2.07%
Sep 17, 2009;615.47;617.04;621.62;612.44;-;-0.31%
Sep 18, 2009;617.88;616.59;619.17;611.95;-;0.39%
Sep 21, 2009;615.97;614.51;617.83;611.17;-;-0.31%
Sep 22, 2009;620.69;618.84;622.42;617.02;-;0.77%
Sep 23, 2009;613.37;621.66;625.31;613.37;-;-1.18%
Sep 24, 2009;601.75;614.48;616.30;598.36;-;-1.89%
Sep 25, 2009;598.94;600.53;602.47;595.88;-;-0.47%
Sep 28, 2009;613.22;600.18;615.11;600.18;-;2.38%
Sep 29, 2009;610.45;613.56;616.98;609.83;-;-0.45%
Sep 30, 2009;604.28;610.74;611.79;597.19;-;-1.01%
Oct 01, 2009;583.75;603.23;603.27;583.75;-;-3.40%
Oct 02, 2009;580.20;583.24;584.47;576.40;-;-0.61%
Oct 05, 2009;591.11;582.23;592.15;581.82;-;1.88%
Oct 06, 2009;601.98;593.88;603.63;593.53;-;1.84%
Oct 07, 2009;602.08;600.86;603.11;599.22;-;0.02%
Oct 08, 2009;607.75;604.90;612.24;604.21;-;0.94%
Oct 09, 2009;614.92;607.43;614.92;607.18;-;1.18%
Oct 12, 2009;613.81;615.18;618.75;611.87;-;-0.18%
Oct 13, 2009;611.70;613.66;614.13;606.79;-;-0.34%
Oct 14, 2009;623.94;616.29;623.94;615.97;-;2.00%
Oct 15, 2009;623.34;621.52;623.89;618.41;-;-0.10%
Oct 16, 2009;616.18;621.50;621.50;611.95;-;-1.15%
Oct 19, 2009;622.34;618.11;624.13;614.42;-;1.00%
Oct 20, 2009;613.41;623.28;623.28;610.53;-;-1.43%
Oct 21, 2009;605.11;612.28;622.69;604.15;-;-1.35%
Oct 22, 2009;613.38;604.77;615.13;598.46;-;1.37%
Oct 23, 2009;600.86;614.73;615.62;599.95;-;-2.04%
Oct 26, 2009;593.68;601.76;610.46;592.49;-;-1.19%
Oct 27, 2009;586.99;594.43;597.26;586.76;-;-1.13%
Oct 28, 2009;566.36;585.43;586.48;565.91;-;-3.51%
Oct 29, 2009;580.22;570.26;581.54;570.26;-;2.45%
Oct 30, 2009;562.77;578.02;578.02;560.19;-;-3.01%
Nov 02, 2009;562.40;563.75;570.12;553.31;-;-0.07%
Nov 03, 2009;570.62;559.78;570.62;557.22;-;1.46%
Nov 04, 2009;563.12;572.65;576.26;562.92;-;-1.31%
Nov 05, 2009;581.15;563.33;581.15;563.33;-;3.20%
Nov 06, 2009;580.35;577.44;584.02;574.84;-;-0.14%
Nov 09, 2009;592.31;583.85;592.31;583.85;-;2.06%
Nov 10, 2009;586.97;590.29;593.57;583.87;-;-0.90%
Nov 11, 2009;592.71;590.60;596.93;588.25;-;0.98%
Nov 12, 2009;580.32;592.23;595.79;579.83;-;-2.09%
Nov 13, 2009;586.28;581.20;588.06;576.73;-;1.03%
Nov 16, 2009;602.87;588.65;605.44;588.65;-;2.83%
Nov 17, 2009;602.34;602.69;603.39;597.24;-;-0.09%
Nov 18, 2009;600.15;602.40;602.55;596.08;-;-0.36%
Nov 19, 2009;585.68;596.69;596.69;581.87;-;-2.41%
Nov 20, 2009;584.68;585.25;586.60;580.68;-;-0.17%
Nov 23, 2009;594.81;589.48;601.36;589.47;-;1.73%
Nov 24, 2009;592.58;594.84;594.84;586.22;-;-0.37%
Nov 25, 2009;592.19;593.66;595.11;592.05;-;-0.07%
Nov 27, 2009;577.21;585.13;585.13;577.21;-;-2.53%
Nov 30, 2009;579.73;576.94;580.39;567.98;-;0.44%
Dec 01, 2009;589.20;582.99;590.80;582.99;-;1.63%
Dec 02, 2009;596.09;589.49;599.92;589.42;-;1.17%
Dec 03, 2009;588.78;597.74;601.59;588.28;-;-1.23%
Dec 04, 2009;602.79;590.00;606.77;590.00;-;2.38%
Dec 07, 2009;603.56;602.11;606.20;600.43;-;0.13%
Dec 08, 2009;597.70;603.27;603.27;593.84;-;-0.97%
Dec 09, 2009;598.03;598.00;598.76;592.71;-;0.06%
Dec 10, 2009;595.38;599.61;601.96;593.06;-;-0.44%
Dec 11, 2009;600.37;597.15;600.55;594.05;-;0.84%
Dec 14, 2009;609.79;602.57;609.79;599.17;-;1.57%
Dec 15, 2009;606.31;609.75;612.79;606.31;-;-0.57%
Dec 16, 2009;611.21;609.20;613.71;608.18;-;0.81%
Dec 17, 2009;604.25;608.36;609.01;600.96;-;-1.14%
Dec 18, 2009;610.57;606.73;610.57;602.29;-;1.05%
Dec 21, 2009;618.60;611.66;618.91;611.66;-;1.32%
Dec 22, 2009;623.60;619.26;624.21;618.86;-;0.81%
Dec 23, 2009;630.98;625.33;632.02;624.70;-;1.18%
Dec 24, 2009;634.07;632.36;634.15;632.23;-;0.49%
Dec 28, 2009;633.75;635.20;635.99;630.94;-;-0.05%
