"","US SmallCap 2000 (US2000)_history.csv Date","US SmallCap 2000 (US2000)_history.csv Price","US SmallCap 2000 (US2000)_history.csv Open","US SmallCap 2000 (US2000)_history.csv High","US SmallCap 2000 (US2000)_history.csv Low","US SmallCap 2000 (US2000)_history.csv Volume"
"1",2009-01-02,505.84,499.51,508.45,494.74,"-"
"2",2009-01-05,505.03,505.56,508.23,496.01,"-"
"3",2009-01-06,514.71,507.16,519,507.16,"-"
"4",2009-01-07,497.1,510.32,510.32,492.36,"-"
"5",2009-01-08,502.01,496.25,502.01,492.52,"-"
"6",2009-01-09,481.3,502.05,502.13,480.96,"-"
"7",2009-01-12,468.8,481.03,481.03,466.75,"-"
"8",2009-01-13,473.79,468.01,476.23,466.05,"-"
"9",2009-01-14,453.17,469.44,469.44,452.69,"-"
"10",2009-01-15,462.62,453.24,464.97,439.55,"-"
"11",2009-01-16,466.45,462.81,467.72,451.77,"-"
"12",2009-01-20,433.65,464.45,464.45,433.65,"-"
"13",2009-01-21,456.76,435.77,457.4,431.96,"-"
"14",2009-01-22,442.85,456.16,456.16,435.54,"-"
"15",2009-01-23,444.36,437.82,449.84,431.26,"-"
"16",2009-01-26,450.06,444.57,458.82,443.59,"-"
"17",2009-01-27,455.58,451.21,458.02,449.21,"-"
"18",2009-01-28,473.02,455.97,474.47,455.97,"-"
"19",2009-01-29,453.24,469.44,469.44,453.24,"-"
"20",2009-01-30,443.53,455.46,459.39,442.43,"-"
"21",2009-02-02,449.61,441.21,451.27,437.22,"-"
"22",2009-02-03,452.9,450.31,455.26,445.81,"-"
"23",2009-02-04,448.48,453.03,461.11,446.73,"-"
"24",2009-02-05,455.08,447.96,459.93,443.32,"-"
"25",2009-02-06,470.7,454.99,471.53,454.52,"-"
"26",2009-02-09,467.94,470.28,471.19,463.5,"-"
"27",2009-02-10,445.77,466.24,470.53,445.68,"-"
"28",2009-02-11,447.95,446.38,451.77,442.07,"-"
"29",2009-02-12,450.42,444.73,451.42,435.59,"-"
"30",2009-02-13,448.36,450.56,456.19,447.01,"-"
"31",2009-02-17,428.9,448.35,448.35,428.9,"-"
"32",2009-02-18,423.18,430.88,431.61,422.08,"-"
"33",2009-02-19,416.71,423.18,429.32,416.71,"-"
"34",2009-02-20,410.96,412.99,415.41,402.65,"-"
"35",2009-02-23,394.58,413.39,414.8,394.58,"-"
"36",2009-02-24,412.48,396.89,413.17,396.89,"-"
"37",2009-02-25,401.44,411.07,411.07,395.45,"-"
"38",2009-02-26,392.95,402.84,406.69,392.68,"-"
"39",2009-02-27,389.02,389.91,397.64,386.69,"-"
"40",2009-03-02,367.8,389.01,389.01,367.8,"-"
"41",2009-03-03,361.01,370.48,372.58,360.62,"-"
"42",2009-03-04,371.3,364.39,375.5,362.77,"-"
"43",2009-03-05,349.45,367.42,367.42,349.44,"-"
"44",2009-03-06,351.05,351.89,356.87,343.15,"-"
"45",2009-03-09,343.26,348.85,355.05,342.59,"-"
"46",2009-03-10,367.75,347.38,367.75,347.38,"-"
"47",2009-03-11,366.3,368.06,376.53,363.84,"-"
"48",2009-03-12,390.12,365.52,390.94,361.08,"-"
"49",2009-03-13,393.09,391.3,395.38,387.32,"-"
"50",2009-03-16,386.36,395.23,400.36,385.61,"-"
"51",2009-03-17,403.59,386.35,403.59,384.26,"-"
"52",2009-03-18,417.63,402.76,419.81,398.96,"-"
"53",2009-03-19,413.26,419.61,422.01,411.7,"-"
"54",2009-03-20,400.11,415.05,416.72,399.59,"-"
"55",2009-03-23,433.72,405.71,433.72,405.71,"-"
"56",2009-03-24,416.39,430.3,430.4,416.07,"-"
"57",2009-03-25,426.52,418.42,432.25,409.7,"-"
"58",2009-03-26,445.3,427.29,445.3,427.29,"-"
"59",2009-03-27,429,440.55,440.55,429,"-"
"60",2009-03-30,415.97,423.84,423.84,408.82,"-"
"61",2009-03-31,422.75,419.03,432.54,417.46,"-"
"62",2009-04-01,429.16,419.39,429.51,412.79,"-"
"63",2009-04-02,450.19,434.32,454.92,434.32,"-"
"64",2009-04-03,456.13,449.45,456.13,444.7,"-"
"65",2009-04-06,447.56,453.08,453.08,441.23,"-"
"66",2009-04-07,431.7,446.93,446.93,431.69,"-"
"67",2009-04-08,442.12,433.06,442.14,432.78,"-"
"68",2009-04-09,468.2,446.98,468.2,446.98,"-"
"69",2009-04-13,468.05,464.79,469.59,457.89,"-"
"70",2009-04-14,453.22,465.27,465.4,453.11,"-"
"71",2009-04-15,461.13,451.52,461.13,450.12,"-"
"72",2009-04-16,473.88,463.56,476.38,458.48,"-"
"73",2009-04-17,479.37,474.37,482.18,470.56,"-"
"74",2009-04-20,452.49,477.98,477.98,452.49,"-"
"75",2009-04-21,470.05,450.38,470.05,448.93,"-"
"76",2009-04-22,470.73,466.31,480.91,463.92,"-"
"77",2009-04-23,466.62,471.83,472.48,460.13,"-"
"78",2009-04-24,478.74,468.93,482.22,468.58,"-"
"79",2009-04-27,469.53,474.38,477.7,467.08,"-"
"80",2009-04-28,472.84,466.84,479.07,465.1,"-"
"81",2009-04-29,491.47,476.14,494.74,476.14,"-"
"82",2009-04-30,487.56,493.61,501.46,487.2,"-"
"83",2009-05-01,486.98,488.09,492.46,484.73,"-"
