"","WIG20 (WIG20)_history.csv Date","WIG20 (WIG20)_history.csv Price","WIG20 (WIG20)_history.csv Open","WIG20 (WIG20)_history.csv High","WIG20 (WIG20)_history.csv Low","WIG20 (WIG20)_history.csv Volume"
"1",2009-01-05,1877.44,1851.42,1877.44,1847.06,"-"
"2",2009-01-06,1920.44,1884.87,1921.47,1872.25,"-"
"3",2009-01-07,1887.85,1910.46,1919.41,1878.06,"-"
"4",2009-01-08,1863.25,1854.83,1886.69,1853.66,"-"
"5",2009-01-09,1817.37,1871.42,1879.77,1816.95,"-"
"6",2009-01-12,1791.71,1812.07,1823.51,1783.41,"-"
"7",2009-01-13,1766.12,1766.62,1777.19,1735.9,"-"
"8",2009-01-14,1701.23,1784.18,1785.03,1690.65,"-"
"9",2009-01-15,1684.35,1696.77,1712.49,1650.18,"-"
"10",2009-01-16,1705.23,1721.24,1723.94,1681.57,"-"
"11",2009-01-19,1644.72,1719.43,1719.9,1635.33,"51620000"
"12",2009-01-20,1642.78,1632.31,1653.19,1608.07,"23350000"
"13",2009-01-21,1678.77,1604.8,1679.07,1581.46,"56370000"
"14",2009-01-22,1619.92,1704.99,1705.58,1584.4,"46400000"
"15",2009-01-23,1611.48,1605.9,1611.48,1545.25,"31960000"
"16",2009-01-26,1664.39,1583.99,1664.39,1571,"30900000"
"17",2009-01-27,1608.43,1662.78,1672.89,1608.43,"32910000"
"18",2009-01-28,1627.89,1639.24,1660.13,1627.89,"14470000"
"19",2009-01-29,1611.22,1640.84,1642.68,1593.36,"19420000"
"20",2009-01-30,1594.92,1594.8,1617.51,1570.64,"40640000"
"21",2009-02-02,1532.55,1574.51,1580.45,1520.61,"18740000"
"22",2009-02-03,1459.34,1540.54,1545,1455.72,"32690000"
"23",2009-02-04,1479.86,1473.47,1486.08,1439.67,"44090000"
"24",2009-02-05,1487.29,1464.47,1515.54,1453.75,"40340000"
"25",2009-02-06,1531.73,1518.28,1536.54,1504.39,"70940000"
"26",2009-02-09,1578.37,1548.37,1578.37,1507.57,"42080000"
"27",2009-02-10,1584.14,1565.9,1594.84,1554.09,"90070000"
"28",2009-02-11,1543.58,1535.52,1568.37,1531.89,"51850000"
"29",2009-02-12,1494.41,1535.53,1535.53,1475.02,"29210000"
"30",2009-02-13,1492.21,1509,1519.04,1487.9,"20480000"
"31",2009-02-16,1435.65,1482.81,1485.29,1435.65,"20910000"
"32",2009-02-17,1327.64,1411.83,1416.71,1327.64,"62160000"
"33",2009-02-18,1337.78,1350.56,1369.43,1253.24,"71680000"
"34",2009-02-19,1405.94,1361.59,1419.97,1357.06,"39090000"
"35",2009-02-20,1383.1,1371.32,1415.97,1339.4,"48100000"
"36",2009-02-23,1365.16,1428.15,1437.71,1365.03,"29640000"
"37",2009-02-24,1361.08,1324.74,1375.86,1317.06,"33050000"
"38",2009-02-25,1345.15,1396.34,1415.49,1341.59,"25750000"
"39",2009-02-26,1392.76,1343.41,1393.18,1331.88,"3.5e+07"
