"","DATE","STLFSI"
"1","2009-01-02",3.246
"2","2009-01-09",2.829
"3","2009-01-16",2.507
"4","2009-01-23",2.759
"5","2009-01-30",2.946
"6","2009-02-06",2.642
"7","2009-02-13",2.588
"8","2009-02-20",2.7
"9","2009-02-27",2.836
"10","2009-03-06",3.044
"11","2009-03-13",2.988
"12","2009-03-20",2.751
"13","2009-03-27",2.572
"14","2009-04-03",2.417
"15","2009-04-10",2.327
"16","2009-04-17",2.141
"17","2009-04-24",2.132
"18","2009-05-01",2.003
"19","2009-05-08",1.721
"20","2009-05-15",1.564
"21","2009-05-22",1.394
"22","2009-05-29",1.451
"23","2009-06-05",1.384
"24","2009-06-12",1.273
"25","2009-06-19",1.266
"26","2009-06-26",1.196
"27","2009-07-03",1.045
"28","2009-07-10",0.964
"29","2009-07-17",0.92
"30","2009-07-24",0.799
"31","2009-07-31",0.688
"32","2009-08-07",0.578
"33","2009-08-14",0.544
"34","2009-08-21",0.484
"35","2009-08-28",0.385
"36","2009-09-04",0.382
"37","2009-09-11",0.221
"38","2009-09-18",0.124
"39","2009-09-25",0.029
"40","2009-10-02",0.006
"41","2009-10-09",-0.032
"42","2009-10-16",-0.046
"43","2009-10-23",-0.109
"44","2009-10-30",-0.022
"45","2009-11-06",-0.023
"46","2009-11-13",-0.178
"47","2009-11-20",-0.246
"48","2009-11-27",-0.286
"49","2009-12-04",-0.272
"50","2009-12-11",-0.255
"51","2009-12-18",-0.302
"52","2009-12-25",-0.297
"53","2010-01-01",-0.297
"54","2010-01-08",-0.369
"55","2010-01-15",-0.475
"56","2010-01-22",-0.462
"57","2010-01-29",-0.397
"58","2010-02-05",-0.404
"59","2010-02-12",-0.328
"60","2010-02-19",-0.378
"61","2010-02-26",-0.455
"62","2010-03-05",-0.516
"63","2010-03-12",-0.586
"64","2010-03-19",-0.609
"65","2010-03-26",-0.538
"66","2010-04-02",-0.53
"67","2010-04-09",-0.558
"68","2010-04-16",-0.614
"69","2010-04-23",-0.649
"70","2010-04-30",-0.57
"71","2010-05-07",-0.363
"72","2010-05-14",-0.279
"73","2010-05-21",-0.092
"74","2010-05-28",0.015
"75","2010-06-04",0.002
"76","2010-06-11",0.037
"77","2010-06-18",-0.111
"78","2010-06-25",-0.207
"79","2010-07-02",-0.157
"80","2010-07-09",-0.232
"81","2010-07-16",-0.324
"82","2010-07-23",-0.373
"83","2010-07-30",-0.462
"84","2010-08-06",-0.524
"85","2010-08-13",-0.518
"86","2010-08-20",-0.506
"87","2010-08-27",-0.474
"88","2010-09-03",-0.483
"89","2010-09-10",-0.528
"90","2010-09-17",-0.577
"91","2010-09-24",-0.655
"92","2010-10-01",-0.703
"93","2010-10-08",-0.709
"94","2010-10-15",-0.79
"95","2010-10-22",-0.758
"96","2010-10-29",-0.733
"97","2010-11-05",-0.764
"98","2010-11-12",-0.764
"99","2010-11-19",-0.661
"100","2010-11-26",-0.684
"101","2010-12-03",-0.617
"102","2010-12-10",-0.62
"103","2010-12-17",-0.572
"104","2010-12-24",-0.659
"105","2010-12-31",-0.647
"106","2011-01-07",-0.672
"107","2011-01-14",-0.747
"108","2011-01-21",-0.741
"109","2011-01-28",-0.763
"110","2011-02-04",-0.721
"111","2011-02-11",-0.727
"112","2011-02-18",-0.746
"113","2011-02-25",-0.721
"114","2011-03-04",-0.743
"115","2011-03-11",-0.731
"116","2011-03-18",-0.644
"117","2011-03-25",-0.746
"118","2011-04-01",-0.758
"119","2011-04-08",-0.781
"120","2011-04-15",-0.84
"121","2011-04-22",-0.895
"122","2011-04-29",-0.926
"123","2011-05-06",-0.886
"124","2011-05-13",-0.891
"125","2011-05-20",-0.908
"126","2011-05-27",-0.927
"127","2011-06-03",-0.911
"128","2011-06-10",-0.87
"129","2011-06-17",-0.8
"130","2011-06-24",-0.793
"131","2011-07-01",-0.79
"132","2011-07-08",-0.818
"133","2011-07-15",-0.779
"134","2011-07-22",-0.814
"135","2011-07-29",-0.814
"136","2011-08-05",-0.718
"137","2011-08-12",-0.34
"138","2011-08-19",-0.446
