project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bitcoin,daily,2015070100,all-access,all-agents,13137
en.wikipedia,Bitcoin,daily,2015070200,all-access,all-agents,9938
en.wikipedia,Bitcoin,daily,2015070300,all-access,all-agents,8498
en.wikipedia,Bitcoin,daily,2015070400,all-access,all-agents,9113
en.wikipedia,Bitcoin,daily,2015070500,all-access,all-agents,8908
en.wikipedia,Bitcoin,daily,2015070600,all-access,all-agents,10456
en.wikipedia,Bitcoin,daily,2015070700,all-access,all-agents,11392
en.wikipedia,Bitcoin,daily,2015070800,all-access,all-agents,11294
en.wikipedia,Bitcoin,daily,2015070900,all-access,all-agents,9808
en.wikipedia,Bitcoin,daily,2015071000,all-access,all-agents,8478
en.wikipedia,Bitcoin,daily,2015071100,all-access,all-agents,7097
en.wikipedia,Bitcoin,daily,2015071200,all-access,all-agents,7439
en.wikipedia,Bitcoin,daily,2015071300,all-access,all-agents,9053
en.wikipedia,Bitcoin,daily,2015071400,all-access,all-agents,7900
en.wikipedia,Bitcoin,daily,2015071500,all-access,all-agents,7585
en.wikipedia,Bitcoin,daily,2015071600,all-access,all-agents,7822
en.wikipedia,Bitcoin,daily,2015071700,all-access,all-agents,7264
en.wikipedia,Bitcoin,daily,2015071800,all-access,all-agents,6343
en.wikipedia,Bitcoin,daily,2015071900,all-access,all-agents,9256
en.wikipedia,Bitcoin,daily,2015072000,all-access,all-agents,8946
en.wikipedia,Bitcoin,daily,2015072100,all-access,all-agents,8595
en.wikipedia,Bitcoin,daily,2015072200,all-access,all-agents,8892
en.wikipedia,Bitcoin,daily,2015072300,all-access,all-agents,9449
en.wikipedia,Bitcoin,daily,2015072400,all-access,all-agents,7952
en.wikipedia,Bitcoin,daily,2015072500,all-access,all-agents,7283
en.wikipedia,Bitcoin,daily,2015072600,all-access,all-agents,8473
en.wikipedia,Bitcoin,daily,2015072700,all-access,all-agents,9626
en.wikipedia,Bitcoin,daily,2015072800,all-access,all-agents,9436
en.wikipedia,Bitcoin,daily,2015072900,all-access,all-agents,9063
en.wikipedia,Bitcoin,daily,2015073000,all-access,all-agents,8548
en.wikipedia,Bitcoin,daily,2015073100,all-access,all-agents,7220
en.wikipedia,Bitcoin,daily,2015080100,all-access,all-agents,19280
en.wikipedia,Bitcoin,daily,2015080200,all-access,all-agents,13539
en.wikipedia,Bitcoin,daily,2015080300,all-access,all-agents,10351
en.wikipedia,Bitcoin,daily,2015080400,all-access,all-agents,8943
en.wikipedia,Bitcoin,daily,2015080500,all-access,all-agents,8469
en.wikipedia,Bitcoin,daily,2015080600,all-access,all-agents,8066
en.wikipedia,Bitcoin,daily,2015080700,all-access,all-agents,7942
en.wikipedia,Bitcoin,daily,2015080800,all-access,all-agents,6901
en.wikipedia,Bitcoin,daily,2015080900,all-access,all-agents,6832
en.wikipedia,Bitcoin,daily,2015081000,all-access,all-agents,7794
en.wikipedia,Bitcoin,daily,2015081100,all-access,all-agents,8070
en.wikipedia,Bitcoin,daily,2015081200,all-access,all-agents,8389
en.wikipedia,Bitcoin,daily,2015081300,all-access,all-agents,9769
en.wikipedia,Bitcoin,daily,2015081400,all-access,all-agents,7322
en.wikipedia,Bitcoin,daily,2015081500,all-access,all-agents,6422
en.wikipedia,Bitcoin,daily,2015081600,all-access,all-agents,6640
en.wikipedia,Bitcoin,daily,2015081700,all-access,all-agents,7683
en.wikipedia,Bitcoin,daily,2015081800,all-access,all-agents,11541
en.wikipedia,Bitcoin,daily,2015081900,all-access,all-agents,11921
en.wikipedia,Bitcoin,daily,2015082000,all-access,all-agents,10579
en.wikipedia,Bitcoin,daily,2015082100,all-access,all-agents,9664
en.wikipedia,Bitcoin,daily,2015082200,all-access,all-agents,7673
en.wikipedia,Bitcoin,daily,2015082300,all-access,all-agents,9181
en.wikipedia,Bitcoin,daily,2015082400,all-access,all-agents,11678
en.wikipedia,Bitcoin,daily,2015082500,all-access,all-agents,9808
en.wikipedia,Bitcoin,daily,2015082600,all-access,all-agents,10923
en.wikipedia,Bitcoin,daily,2015082700,all-access,all-agents,8496
en.wikipedia,Bitcoin,daily,2015082800,all-access,all-agents,7543
en.wikipedia,Bitcoin,daily,2015082900,all-access,all-agents,8285
en.wikipedia,Bitcoin,daily,2015083000,all-access,all-agents,9485
en.wikipedia,Bitcoin,daily,2015083100,all-access,all-agents,8902
en.wikipedia,Bitcoin,daily,2015090100,all-access,all-agents,9625
en.wikipedia,Bitcoin,daily,2015090200,all-access,all-agents,8586
en.wikipedia,Bitcoin,daily,2015090300,all-access,all-agents,8147
en.wikipedia,Bitcoin,daily,2015090400,all-access,all-agents,7057
en.wikipedia,Bitcoin,daily,2015090500,all-access,all-agents,6023
en.wikipedia,Bitcoin,daily,2015090600,all-access,all-agents,6399
en.wikipedia,Bitcoin,daily,2015090700,all-access,all-agents,7505
en.wikipedia,Bitcoin,daily,2015090800,all-access,all-agents,8553
en.wikipedia,Bitcoin,daily,2015090900,all-access,all-agents,8275
en.wikipedia,Bitcoin,daily,2015091000,all-access,all-agents,8385
en.wikipedia,Bitcoin,daily,2015091100,all-access,all-agents,8024
en.wikipedia,Bitcoin,daily,2015091200,all-access,all-agents,6968
en.wikipedia,Bitcoin,daily,2015091300,all-access,all-agents,7008
en.wikipedia,Bitcoin,daily,2015091400,all-access,all-agents,10119
en.wikipedia,Bitcoin,daily,2015091500,all-access,all-agents,9090
en.wikipedia,Bitcoin,daily,2015091600,all-access,all-agents,8800
en.wikipedia,Bitcoin,daily,2015091700,all-access,all-agents,9018
en.wikipedia,Bitcoin,daily,2015091800,all-access,all-agents,9788
en.wikipedia,Bitcoin,daily,2015091900,all-access,all-agents,7558
en.wikipedia,Bitcoin,daily,2015092000,all-access,all-agents,7368
en.wikipedia,Bitcoin,daily,2015092100,all-access,all-agents,8936
en.wikipedia,Bitcoin,daily,2015092200,all-access,all-agents,10027
en.wikipedia,Bitcoin,daily,2015092300,all-access,all-agents,41177
en.wikipedia,Bitcoin,daily,2015092400,all-access,all-agents,8707
en.wikipedia,Bitcoin,daily,2015092500,all-access,all-agents,10171
en.wikipedia,Bitcoin,daily,2015092600,all-access,all-agents,7046
en.wikipedia,Bitcoin,daily,2015092700,all-access,all-agents,7292
en.wikipedia,Bitcoin,daily,2015092800,all-access,all-agents,8213
en.wikipedia,Bitcoin,daily,2015092900,all-access,all-agents,8418
en.wikipedia,Bitcoin,daily,2015093000,all-access,all-agents,8602
en.wikipedia,Bitcoin,daily,2015100100,all-access,all-agents,7942
en.wikipedia,Bitcoin,daily,2015100200,all-access,all-agents,7540
en.wikipedia,Bitcoin,daily,2015100300,all-access,all-agents,6772
en.wikipedia,Bitcoin,daily,2015100400,all-access,all-agents,7565
en.wikipedia,Bitcoin,daily,2015100500,all-access,all-agents,8901
en.wikipedia,Bitcoin,daily,2015100600,all-access,all-agents,11515
en.wikipedia,Bitcoin,daily,2015100700,all-access,all-agents,9937
en.wikipedia,Bitcoin,daily,2015100800,all-access,all-agents,8930
en.wikipedia,Bitcoin,daily,2015100900,all-access,all-agents,8510
en.wikipedia,Bitcoin,daily,2015101000,all-access,all-agents,7433
en.wikipedia,Bitcoin,daily,2015101100,all-access,all-agents,7692
en.wikipedia,Bitcoin,daily,2015101200,all-access,all-agents,8895
en.wikipedia,Bitcoin,daily,2015101300,all-access,all-agents,8719
en.wikipedia,Bitcoin,daily,2015101400,all-access,all-agents,10092
en.wikipedia,Bitcoin,daily,2015101500,all-access,all-agents,8397
en.wikipedia,Bitcoin,daily,2015101600,all-access,all-agents,7882
en.wikipedia,Bitcoin,daily,2015101700,all-access,all-agents,6919
en.wikipedia,Bitcoin,daily,2015101800,all-access,all-agents,7189
en.wikipedia,Bitcoin,daily,2015101900,all-access,all-agents,9286
en.wikipedia,Bitcoin,daily,2015102000,all-access,all-agents,9618
en.wikipedia,Bitcoin,daily,2015102100,all-access,all-agents,9091
en.wikipedia,Bitcoin,daily,2015102200,all-access,all-agents,9548
en.wikipedia,Bitcoin,daily,2015102300,all-access,all-agents,8964
en.wikipedia,Bitcoin,daily,2015102400,all-access,all-agents,7211
en.wikipedia,Bitcoin,daily,2015102500,all-access,all-agents,8115
en.wikipedia,Bitcoin,daily,2015102600,all-access,all-agents,9774
en.wikipedia,Bitcoin,daily,2015102700,all-access,all-agents,10467
en.wikipedia,Bitcoin,daily,2015102800,all-access,all-agents,10815
en.wikipedia,Bitcoin,daily,2015102900,all-access,all-agents,11065
en.wikipedia,Bitcoin,daily,2015103000,all-access,all-agents,10597
en.wikipedia,Bitcoin,daily,2015103100,all-access,all-agents,7868
en.wikipedia,Bitcoin,daily,2015110100,all-access,all-agents,9414
en.wikipedia,Bitcoin,daily,2015110200,all-access,all-agents,10937
en.wikipedia,Bitcoin,daily,2015110300,all-access,all-agents,12552
en.wikipedia,Bitcoin,daily,2015110400,all-access,all-agents,15437
en.wikipedia,Bitcoin,daily,2015110500,all-access,all-agents,17375
en.wikipedia,Bitcoin,daily,2015110600,all-access,all-agents,12389
en.wikipedia,Bitcoin,daily,2015110700,all-access,all-agents,9095
en.wikipedia,Bitcoin,daily,2015110800,all-access,all-agents,9944
en.wikipedia,Bitcoin,daily,2015110900,all-access,all-agents,12995
en.wikipedia,Bitcoin,daily,2015111000,all-access,all-agents,11800
en.wikipedia,Bitcoin,daily,2015111100,all-access,all-agents,9867
en.wikipedia,Bitcoin,daily,2015111200,all-access,all-agents,10723
en.wikipedia,Bitcoin,daily,2015111300,all-access,all-agents,10063
en.wikipedia,Bitcoin,daily,2015111400,all-access,all-agents,7329
en.wikipedia,Bitcoin,daily,2015111500,all-access,all-agents,8089
en.wikipedia,Bitcoin,daily,2015111600,all-access,all-agents,9350
en.wikipedia,Bitcoin,daily,2015111700,all-access,all-agents,10446
en.wikipedia,Bitcoin,daily,2015111800,all-access,all-agents,9931
en.wikipedia,Bitcoin,daily,2015111900,all-access,all-agents,9356
en.wikipedia,Bitcoin,daily,2015112000,all-access,all-agents,9095
en.wikipedia,Bitcoin,daily,2015112100,all-access,all-agents,7921
en.wikipedia,Bitcoin,daily,2015112200,all-access,all-agents,7864
en.wikipedia,Bitcoin,daily,2015112300,all-access,all-agents,8695
en.wikipedia,Bitcoin,daily,2015112400,all-access,all-agents,8071
en.wikipedia,Bitcoin,daily,2015112500,all-access,all-agents,7602
en.wikipedia,Bitcoin,daily,2015112600,all-access,all-agents,9906
en.wikipedia,Bitcoin,daily,2015112700,all-access,all-agents,7525
en.wikipedia,Bitcoin,daily,2015112800,all-access,all-agents,6900
en.wikipedia,Bitcoin,daily,2015112900,all-access,all-agents,7443
en.wikipedia,Bitcoin,daily,2015113000,all-access,all-agents,9707
en.wikipedia,Bitcoin,daily,2015120100,all-access,all-agents,9924
en.wikipedia,Bitcoin,daily,2015120200,all-access,all-agents,9334
en.wikipedia,Bitcoin,daily,2015120300,all-access,all-agents,9198
en.wikipedia,Bitcoin,daily,2015120400,all-access,all-agents,9648
en.wikipedia,Bitcoin,daily,2015120500,all-access,all-agents,8269
en.wikipedia,Bitcoin,daily,2015120600,all-access,all-agents,7899
en.wikipedia,Bitcoin,daily,2015120700,all-access,all-agents,9360
en.wikipedia,Bitcoin,daily,2015120800,all-access,all-agents,15663
en.wikipedia,Bitcoin,daily,2015120900,all-access,all-agents,64048
