"","silver_history.csv Date","silver_history.csv Price","silver_history.csv Open","silver_history.csv High","silver_history.csv Low","silver_history.csv Volume"
"1",2009-01-02,878.8,881.5,881.5,868.9,"50"
"2",2009-01-05,857.2,882,883.5,847,"40"
"3",2009-01-06,865.4,855.1,867.6,840,"110"
"4",2009-01-07,841.1,862,867,837.7,"100"
"5",2009-01-08,853.9,837.9,861,837.9,"260"
"6",2009-01-09,854.3,855.9,862.1,855.9,"120"
"7",2009-01-12,820.3,844.4,844.4,815.4,"70"
"8",2009-01-13,820.1,825.6,825.6,815.7,"20"
"9",2009-01-14,808.2,825.9,827.1,814,"10"
"10",2009-01-15,806.7,805.6,808.8,805.6,"20"
"11",2009-01-16,839.3,834,842.5,834,"60"
"12",2009-01-20,854.6,838.7,862.7,824,"20"
"13",2009-01-21,849.6,850.5,851,844.5,"40"
"14",2009-01-22,858.2,856.8,860.9,846.2,"60"
"15",2009-01-23,895.3,875,899.1,875,"50"
"16",2009-01-26,908.5,907.3,911.6,901.2,"20"
"17",2009-01-27,899.2,902.8,903,895.2,"50"
"18",2009-01-28,888.1,886.1,894.6,883.7,"20"
"19",2009-01-29,905.1,888.1,909.7,874.2,"66610"
"20",2009-01-30,927.3,909.8,930.3,902,"10460"
"21",2009-02-02,906.7,929,929,902.2,"3220"
"22",2009-02-03,892,903.2,913.3,889.8,"1450"
"23",2009-02-04,901.6,900.1,909.2,897,"470"
"24",2009-02-05,913.6,906.3,924.4,904.4,"770"
"25",2009-02-06,913.9,914.5,918.5,909.5,"330"
"26",2009-02-09,892.4,910,911,891.8,"980"
"27",2009-02-10,913.7,898,917.5,892,"250"
"28",2009-02-11,943.8,913.7,947.2,912.2,"890"
"29",2009-02-12,948.5,938.8,952.8,936.4,"340"
"30",2009-02-13,941.5,947.3,947.3,934.2,"140"
"31",2009-02-17,967,939.5,973.8,937.3,"1640"
"32",2009-02-18,977.7,968.4,988,962.2,"420"
"33",2009-02-19,976.1,982.7,986.2,972,"200"
"34",2009-02-20,1001.8,974,1004.9,971.6,"220"
"35",2009-02-23,994.6,995.6,996.5,980,"220"
"36",2009-02-24,969.1,988,991.6,963.2,"240"
"37",2009-02-25,965.7,963.3,977.5,953.1,"220"
"38",2009-02-26,941.8,953,956,933,"690"
"39",2009-02-27,941.5,943.4,963.2,929,"730"
"40",2009-03-02,939,945,955.8,924.5,"470"
"41",2009-03-03,912.9,927,931.8,906.4,"360"
"42",2009-03-04,906,914.9,923.2,900.1,"160"
"43",2009-03-05,927,912,932.6,908.9,"140"
"44",2009-03-06,942.1,933.5,944.5,931.8,"310"
"45",2009-03-09,917.7,940.5,940.5,914.5,"840"
"46",2009-03-10,895.6,921.6,921.8,892.1,"120"
"47",2009-03-11,910.4,894.7,912.4,894.1,"220"
"48",2009-03-12,923.7,909.2,927.5,908,"120"
"49",2009-03-13,929.8,924.4,937,924.4,"70"
"50",2009-03-16,921.6,926.4,929.6,916.7,"140"
"51",2009-03-17,916.4,923.2,924.4,912.4,"50"
"52",2009-03-18,888.7,915.4,944,885,"120"
"53",2009-03-19,958.3,938,960.8,933.9,"360"
"54",2009-03-20,955.8,960.6,960.6,954.1,"20"
"55",2009-03-23,952.1,950.7,952.6,937.9,"30"
"56",2009-03-24,923.3,923.3,923.3,923.3,"1490"
"57",2009-03-25,935.4,921.2,936.5,920.8,"100"
"58",2009-03-26,939.6,939.6,943,937.6,"70"
"59",2009-03-27,923,923,923,923,"-"
"60",2009-03-30,915.5,924.6,932.5,908.6,"58840"
"61",2009-03-31,922.6,918,924.5,911.6,"7400"
"62",2009-04-01,926.1,918.6,932.5,916.9,"3660"
"63",2009-04-02,907.4,926.9,930.3,894.9,"3390"
"64",2009-04-03,895.6,904.6,910.3,891.3,"1620"
"65",2009-04-06,871.5,895,895,865.1,"1080"
"66",2009-04-07,882.2,872.2,884.7,872.2,"400"
"67",2009-04-08,884.8,884,889.1,879,"120"
"68",2009-04-09,882.2,882.4,886.1,874.7,"360"
"69",2009-04-13,894.7,882.5,899.4,882.5,"420"
"70",2009-04-14,890.9,896.1,897.8,887.4,"360"
"71",2009-04-15,892.8,890,895.3,888.9,"670"
"72",2009-04-16,879.3,890.9,893.4,872.8,"630"
"73",2009-04-17,867.4,874,875.7,865,"210"
"74",2009-04-20,887,868.8,889,866.1,"660"
"75",2009-04-21,882.1,886.9,895.1,880.7,"230"
"76",2009-04-22,891.8,883.1,893,883,"330"
"77",2009-04-23,905.9,893.6,909,892.6,"230"
"78",2009-04-24,913.6,911.2,913.4,906.7,"440"
"79",2009-04-27,907.4,918,918,906.3,"1180"
"80",2009-04-28,892.8,899.7,899.7,890.1,"110"
"81",2009-04-29,899.8,890.1,902.5,887.8,"810"
"82",2009-04-30,890.7,898.2,898.9,881.3,"210"
