Date	Price	Open	High	Low	Vol.	Change %
Jan 02, 2009	11.465	11.195	11.525	11.160	0.08K	1.73%
Jan 05, 2009	11.245	10.920	11.235	10.890	0.03K	-1.92%
Jan 06, 2009	11.420	10.880	11.485	10.880	0.04K	1.56%
Jan 07, 2009	11.080	11.410	11.410	10.895	0.21K	-2.98%
Jan 08, 2009	11.072	11.155	11.170	11.035	0.14K	-0.07%
Jan 09, 2009	11.295	11.290	11.295	11.290	0.03K	2.01%
Jan 13, 2009	10.655	10.710	10.710	10.710	0.04K	-5.67%
Jan 14, 2009	10.452	10.500	10.560	10.370	0.04K	-1.91%
Jan 15, 2009	10.420	10.530	10.530	10.380	0.02K	-0.31%
Jan 16, 2009	11.195	11.000	11.250	11.000	0.01K	7.44%
Jan 20, 2009	11.158	11.345	11.345	11.205	0.02K	-0.33%
Jan 21, 2009	11.315	11.315	11.355	11.145	0.14K	1.41%
Jan 22, 2009	11.357	11.430	11.435	11.375	0.02K	0.37%
Jan 23, 2009	11.932	11.505	11.915	11.345	0.32K	5.06%
Jan 26, 2009	12.102	12.100	12.100	12.100	0.00K	1.42%
Jan 27, 2009	12.167	12.015	12.015	12.015	0.03K	0.54%
Jan 29, 2009	12.140	11.890	12.145	11.890	0.01K	-0.22%
Jan 30, 2009	12.560	12.475	12.590	12.475	0.03K	3.46%
Feb 02, 2009	12.410	12.500	12.500	12.500	0.00K	-1.19%
Feb 03, 2009	12.295	12.270	12.275	12.270	0.07K	-0.93%
Feb 04, 2009	12.465	12.510	12.510	12.465	0.01K	1.38%
Feb 05, 2009	12.745	12.740	12.755	12.700	0.07K	2.25%
Feb 06, 2009	13.155	12.875	13.105	12.875	0.00K	3.22%
Feb 09, 2009	12.825	13.005	13.005	12.880	0.01K	-2.51%
Feb 10, 2009	13.125	13.110	13.150	13.050	0.08K	2.34%
Feb 11, 2009	13.515	13.325	13.515	13.225	0.04K	2.97%
Feb 12, 2009	13.505	13.430	13.430	13.345	0.02K	-0.07%
Feb 13, 2009	13.620	13.330	13.530	13.330	0.03K	0.85%
Feb 17, 2009	14.008	13.850	14.150	13.850	0.03K	2.85%
